advmod(接-2, 有时-1)
cop(特色-15, 是-12)
assmod(特色-15, 黑莓-13)
case(黑莓-13, 的-14)
conj(快-3, 特色-15)
nsubj(爽-22, 屏幕-17)
case(太阳-19, 在-18)
prep(爽-22, 太阳-19)
case(太阳-19, 下-20)
advmod(爽-22, 看上去-21)
conj(快-3, 爽-22)
rcomp(爽-22, 死-23)
asp(爽-22, 了-24)

nsubj(拉-4, 照相-1)
advmod(拉-4, 还-2)
mmod(拉-4, 可以-3)
root(ROOT-0, 拉-4)
case(早上-7, 在-6)
prep(清楚-10, 早上-7)
advmod(清楚-10, 都-8)
advmod(清楚-10, 蛮-9)
dep(拉-4, 清楚-10)
dep(清楚-10, 的-11)
advmod(可以-20, 反正-13)
case(学生-16, 对-14)
nn(学生-16, 我们-15)
prep(可以-20, 学生-16)
case(学生-16, 来说-17)
cop(可以-20, 是-18)
advmod(可以-20, 还-19)
dep(拉-4, 可以-20)
dep(可以-20, 了-21)
case(换-28, 到-23)
nsubj(换-28, 自己-24)
loc(换-28, 长大-25)
case(长大-25, 后-26)
advmod(换-28, 在-27)
dep(可以-20, 换-28)
dobj(换-28, 好-29)
mark(好-29, 的-30)
dep(换-28, 吧-31)

assmod(体积-3, 小巧-1)
case(小巧-1, 的-2)
nsubj(看-14, 体积-3)
advmod(轻-6, 很-5)
relcl(重量-8, 轻-6)
mark(轻-6, 的-7)
nsubj(看-14, 重量-8)
loc(看-14, 阳光-10)
case(阳光-10, 下-11)
advmod(看-14, 也-12)
mmod(看-14, 可以-13)
root(ROOT-0, 看-14)
amod(屏幕-16, 清-15)
dobj(看-14, 屏幕-16)

nsubj(实惠-2, 价格-1)
root(ROOT-0, 实惠-2)
nsubj(出色-5, 屏幕-4)
conj(实惠-2, 出色-5)
nn(效果-8, 音乐-7)
nsubj(好-9, 效果-8)
conj(实惠-2, 好-9)
nsubj(好-12, 扩展性-11)
conj(实惠-2, 好-12)
case(这种-16, 对-14)
nsubj(这种-16, 我-15)
prep(不错-22, 这种-16)
advmod(玩机-18, 不怎么-17)
assmod(人-20, 玩机-18)
case(玩机-18, 的-19)
dobj(这种-16, 人-20)
case(这种-16, 来说-21)
dep(实惠-2, 不错-22)
dep(不错-22, 了-23)

amod(屏幕-2, 大-1)
nsubj(方便-8, 屏幕-2)
case(手写机-5, 对于-4)
prep(方便-8, 手写机-5)
case(手写机-5, 来说-6)
advmod(方便-8, 很-7)
root(ROOT-0, 方便-8)

nsubj(显示-2, 屏幕-1)
root(ROOT-0, 显示-2)
nsubj(不错-5, 效果-3)
advmod(不错-5, 还-4)
ccomp(显示-2, 不错-5)
nsubj(好-10, 相机-7)
case(光线-9, 在-8)
prep(好-10, 光线-9)
relcl(效果-13, 好-10)
mark(好-10, 的-11)
nn(效果-13, 地方-12)
nsubj(不错-15, 效果-13)
advmod(不错-15, 还-14)
conj(显示-2, 不错-15)
nsubj(多-19, rom-17)
advmod(多-19, 比较-18)
conj(显示-2, 多-19)
nn(音质-22, 外放-21)
nsubj(可以-24, 音质-22)
advmod(可以-24, 还-23)
conj(显示-2, 可以-24)
nn(性价比-27, 目前-26)
tmod(高-29, 性价比-27)
advmod(高-29, 比较-28)
conj(显示-2, 高-29)
nn(速度-33, 电信-31)
nummod(速度-33, 3g-32)
nsubj(快-35, 速度-33)
advmod(快-35, 比较-34)
conj(显示-2, 快-35)

nsubj(要-8, 照相-1)
advmod(要-8, 很-2)
case(灵感-5, 好比-3)
nn(灵感-5, htc-4)
prep(要-8, 灵感-5)
dvpmod(要-8, 拍-6)
mark(拍-6, 的-7)
root(ROOT-0, 要-8)
advmod(要-8, 暗-9)
nn(不好-12, 光线-11)
assmod(摄像头-15, 不好-12)
case(不好-12, 的-13)
nn(摄像头-15, 话-14)
nsubj(鸡肋-18, 摄像头-15)
advmod(鸡肋-18, 就-16)
cop(鸡肋-18, 是-17)
conj(要-8, 鸡肋-18)

nsubj(暗-2, 光线-1)
relcl(照相-5, 暗-2)
mark(暗-2, 的-3)
nn(照相-5, 时候-4)
dep(拿-22, 照相-5)
advmod(拿-22, 太-7)
neg(给力-9, 不-8)
dep(拿-22, 给力-9)
dep(给力-9, 了-10)
case(距-15, 关于-12)
det(微焦-14, 什么-13)
nsubj(距-15, 微焦-14)
dep(给力-9, 距-15)
dobj(距-15, 什么-16)
dep(距-15, 的-17)
advmod(可以-20, 如果-19)
dep(拿-22, 可以-20)
root(ROOT-0, 拿-22)
nummod(放大镜-24, 一个-23)
dobj(拿-22, 放大镜-24)
cc(拿-22, 还是-25)
conj(拿-22, 有-26)
amod(效果-28, 不错-27)
dobj(有-26, 效果-28)
dep(拿-22, 的-29)

nsubj(好-2, 照相-1)
root(ROOT-0, 好-2)
advmod(出现-10, 不过-4)
nn(眼睛-7, 晚上-5)
nn(眼睛-7, 照人-6)
tmod(出现-10, 眼睛-7)
mmod(出现-10, 会-8)
advmod(出现-10, 有时-9)
conj(好-2, 出现-10)
dobj(出现-10, 红眼-11)

conj(照相-3, 屏幕-1)
nsubj(如同-6, 照相-3)
advmod(如同-6, 都-4)
neg(如同-6, 不-5)
root(ROOT-0, 如同-6)
assmod(ARC-9, 门-7)
case(门-7, 的-8)
dobj(如同-6, ARC-9)
nsubj(RAY-13, NEO-11)
conj(如同-6, RAY-13)
case(弄-17, 对于-15)
neg(弄-17, 不-16)
prep(看-28, 弄-17)
dobj(弄-17, 游戏-18)
neg(模拟器-22, 不-20)
mmod(模拟器-22, 玩-21)
dep(弄-17, 模拟器-22)
amod(用户-24, 一般-23)
dobj(模拟器-22, 用户-24)
case(弄-17, 来说-25)
advmod(看-28, 实在-27)
conj(如同-6, 看-28)
neg(有-31, 不-29)
mmod(有-31, 出-30)
relcl(绝配-38, 有-31)
nsubj(好-33, 什么-32)
dep(有-31, 好-33)
nn(小众-36, 游戏-35)
dep(好-33, 小众-36)
mark(有-31, 的-37)
dobj(看-28, 绝配-38)

case(看-4, 用-1)
nn(上网-3, wifi-2)
nsubj(看-4, 上网-3)
prep(让-24, 看-4)
nsubj(流畅-7, 视频-5)
advmod(流畅-7, 很-6)
ccomp(看-4, 流畅-7)
nn(感觉-10, 摄像-9)
nsubj(不错-11, 感觉-10)
conj(流畅-7, 不错-11)
nsubj(杯具-19, 光线-13)
advmod(杯具-19, 暗-14)
dep(杯具-19, 的-15)
nn(照相-17, 时候-16)
nsubj(杯具-19, 照相-17)
advmod(杯具-19, 很-18)
conj(流畅-7, 杯具-19)
loc(让-24, 总体-21)
case(总体-21, 来讲-22)
advmod(让-24, 还是-23)
root(ROOT-0, 让-24)
nsubj(拾-27, 我-25)
advmod(拾-27, 重-26)
ccomp(让-24, 拾-27)
case(moto-29, 对-28)
assmod(信心-31, moto-29)
case(moto-29, 的-30)
dobj(拾-27, 信心-31)

case(照相-2, 至于-1)
assmod(现象-5, 照相-2)
case(照相-2, 的-3)
nn(现象-5, 紫光-4)
nsubj(有-7, 现象-5)
advmod(有-7, 确实-6)
root(ROOT-0, 有-7)
advmod(在-11, 但-9)
advmod(在-11, 只有-10)
conj(有-7, 在-11)
rcomp(在-11, 对-12)
asp(在-11, 着-13)
nn(照相-15, 光源-14)
dobj(在-11, 照相-15)
cc(有-7, 且-17)
nsubj(明显-26, 光源-18)
advmod(明显-26, 恰好-19)
case(时候-24, 在-20)
nn(边缘-22, 屏幕-21)
assmod(时候-24, 边缘-22)
case(边缘-22, 的-23)
prep(明显-26, 时候-24)
advmod(明显-26, 比较-25)
conj(有-7, 明显-26)

root(ROOT-0, 没有-1)
dobj(没有-1, 闪光灯-2)
nsubj(要-5, 照相-4)
dep(没有-1, 要-5)
nsubj(好-7, 阳光-6)
relcl(时候-9, 好-7)
mark(好-7, 的-8)
dobj(要-5, 时候-9)

advmod(功能-5, 同样-1)
cop(功能-5, 是-2)
det(功能-5, 这个-3)
nn(功能-5, 拍照-4)
root(ROOT-0, 功能-5)
case(情况-11, 在-7)
nsubj(正好-9, 光线-8)
relcl(情况-11, 正好-9)
mark(正好-9, 的-10)
prep(拍照-13, 情况-11)
case(情况-11, 下-12)
dep(功能-5, 拍照-13)
amod(给力-15, 相当-14)
dobj(拍照-13, 给力-15)
advmod(追-18, 直-17)
dep(功能-5, 追-18)
assmod(卡片机-24, 我-19)
case(我-19, 的-20)
nn(卡片机-24, 松下-21)
nummod(元-23, 千-22)
clf(卡片机-24, 元-23)
dobj(追-18, 卡片机-24)

nn(光线-2, 拍照-1)
nsubj(强-3, 光线-2)
root(ROOT-0, 强-3)
asp(强-3, 了-4)
advmod(强-3, 就-5)
dep(强-3, 有-6)
dobj(有-6, 耀斑-7)
advmod(射-12, 一般-9)
advmod(射-12, 就是-10)
nsubj(射-12, 太阳-11)
conj(强-3, 射-12)
relcl(耀斑-20, 过来-13)
mark(过来-13, 的-14)
nummod(块-16, 一两-15)
clf(耀斑-20, 块-16)
advmod(大-18, 陀-17)
assmod(耀斑-20, 大-18)
case(大-18, 的-19)
dobj(射-12, 耀斑-20)
nsubj(补-28, 光线-22)
advmod(补-28, 稍微-23)
advmod(补-28, 暗-24)
advmod(补-28, 点-25)
advmod(补-28, 就-26)
mmod(补-28, 得-27)
conj(强-3, 补-28)
dobj(补-28, 光-29)

nn(效果-2, 照相-1)
nsubj(一般-3, 效果-2)
root(ROOT-0, 一般-3)
nummod(像素-6, 500-5)
nsubj(看-15, 像素-6)
nsubj(暗-9, 光线-8)
relcl(时候-11, 暗-9)
mark(暗-9, 的-10)
nsubj(看-15, 时候-11)
dep(看-15, 拍-12)
dep(看-15, 的-13)
advmod(看-15, 没法-14)
conj(一般-3, 看-15)
advmod(不错-21, 但-17)
nn(效果-19, 摄像-18)
nsubj(不错-21, 效果-19)
advmod(不错-21, 还-20)
conj(一般-3, 不错-21)

advmod(算-30, 如果-1)
case(没有-4, 对于-2)
dep(没有-4, 照相-3)
dep(算-30, 没有-4)
assmod(话-7, 要求-5)
case(要求-5, 的-6)
nsubj(机器-13, 话-7)
advmod(机器-13, 还-8)
cop(机器-13, 是-9)
clf(机器-13, 个-10)
relcl(机器-13, 不错-11)
mark(不错-11, 的-12)
dep(没有-4, 机器-13)
relcl(东西-17, 装-15)
mark(装-15, 的-16)
nsubj(多-18, 东西-17)
conj(机器-13, 多-18)
asp(多-18, 了-19)
dobj(多-18, 反应-20)
conj(多-18, 慢-21)
nsubj(通病-26, 这-22)
cop(通病-26, 是-23)
assmod(通病-26, 安卓机器-24)
case(安卓机器-24, 的-25)
conj(没有-4, 通病-26)
dep(算-30, 性价比-28)
advmod(算-30, 还-29)
root(ROOT-0, 算-30)
rcomp(算-30, 可以-31)
dep(算-30, 吧-32)

advmod(满意-3, 比较-1)
neg(满意-3, 不-2)
relcl(地方-5, 满意-3)
mark(满意-3, 的-4)
nsubj(不错-24, 地方-5)
advmod(就-17, 就是-6)
nsubj(就-17, 照相-7)
advmod(明亮-14, 只要-9)
neg(明亮-14, 不-10)
cop(明亮-14, 是-11)
dvpmod(明亮-14, 非常-12)
mark(非常-12, 的-13)
dep(就-17, 明亮-14)
nsubj(就-17, 效果-16)
dep(不错-24, 就-17)
advmod(就-17, 非常-18)
advmod(就-17, 暗-19)
advmod(不错-24, 好在-21)
advmod(不错-24, 像素-22)
advmod(不错-24, 还-23)
root(ROOT-0, 不错-24)

dep(有-2, 照相-1)
root(ROOT-0, 有-2)
dep(有-2, 延迟-3)
advmod(拖尾-6, 容易-5)
conj(有-2, 拖尾-6)
tmod(一般-10, 晚上-8)
advmod(一般-10, 像素-9)
conj(有-2, 一般-10)

nn(夜晚-2, 照相-1)
nsubj(用-4, 夜晚-2)
advmod(用-4, 不好-3)
root(ROOT-0, 用-4)
nsubj(说-9, 电池-6)
neg(说-9, 不-7)
advmod(说-9, 多-8)
conj(用-4, 说-9)
asp(说-9, 了-10)

case(照相-3, 在-1)
nn(照相-3, 晚上-2)
assmod(效果-6, 照相-3)
case(照相-3, 的-4)
nn(效果-6, 时候-5)
nsubj(一般-7, 效果-6)
root(ROOT-0, 一般-7)
dep(一般-7, 吧-8)

nsubj(咋-3, 照相机-1)
neg(咋-3, 不-2)
root(ROOT-0, 咋-3)
dep(咋-3, 滴-4)
case(苹果-7, 跟-6)
prep(多-12, 苹果-7)
case(起来-9, 比-8)
prep(多-12, 起来-9)
mmod(多-12, 差-10)
advmod(多-12, 太-11)
dep(咋-3, 多-12)
nsubj(说-15, 只能-14)
conj(咋-3, 说-15)
case(地方-20, 在-16)
nsubj(充足-18, 光线-17)
relcl(地方-20, 充足-18)
mark(充足-18, 的-19)
prep(拍照-21, 地方-20)
relcl(话-23, 拍照-21)
mark(拍照-21, 的-22)
nsubj(可以-25, 话-23)
advmod(可以-25, 还-24)
ccomp(说-15, 可以-25)

nsubj(牵强-3, 照相-1)
advmod(牵强-3, 较为-2)
root(ROOT-0, 牵强-3)
nsubj(不行-9, 光线-5)
advmod(不行-9, 稍-6)
advmod(不行-9, 暗-7)
advmod(不行-9, 就-8)
conj(牵强-3, 不行-9)
asp(不行-9, 了-10)
dep(不行-9, 有-12)
nummod(噪点-14, 很多-13)
dobj(有-12, 噪点-14)

nn(功能-2, 照相-1)
nsubj(行-5, 功能-2)
tmod(行-5, 白天-3)
advmod(行-5, 还-4)
root(ROOT-0, 行-5)
tmod(般-9, 夜间-7)
advmod(般-9, 一般-8)
conj(行-5, 般-9)

root(ROOT-0, 没有-1)
nn(照相键-3, 实体-2)
dobj(没有-1, 照相键-3)
advmod(可以-9, 虽然-5)
nn(解锁-8, sence-6)
nn(解锁-8, 界面-7)
nsubj(可以-9, 解锁-8)
dep(给力-25, 可以-9)
amod(启动-11, 快捷-10)
dobj(可以-9, 启动-11)
advmod(给力-25, 但是-13)
case(人-18, 对于-14)
nn(自拍-16, 爱-15)
assmod(人-18, 自拍-16)
case(自拍-16, 的-17)
prep(给力-25, 人-18)
case(人-18, 来说-19)
amod(摄像头-22, 前-21)
nsubj(给力-25, 摄像头-22)
advmod(给力-25, 明显-23)
neg(给力-25, 不-24)
conj(没有-1, 给力-25)
advmod(没有-30, 后-27)
nsubj(没有-30, 摄像头-28)
advmod(没有-30, 又-29)
conj(没有-1, 没有-30)
nn(照相键-32, 实体-31)
dobj(没有-30, 照相键-32)
advmod(纠结-35, 比较-34)
conj(没有-1, 纠结-35)

nsubj(了-4, 相机-1)
advmod(了-4, 太-2)
advmod(了-4, 暗-3)
root(ROOT-0, 了-4)
case(不好-11, 在-6)
nn(拍光线-8, 家里-7)
nsubj(不好-11, 拍光线-8)
advmod(不好-11, 一点-9)
advmod(不好-11, 都-10)
prep(没用-30, 不好-11)
nsubj(说-23, KTV-13)
advmod(见-19, 就-14)
nsubj(见-19, 什么-15)
advmod(见-19, 都-16)
mmod(见-19, 看-17)
neg(见-19, 不-18)
dep(说-23, 见-19)
dep(见-19, 了-20)
advmod(说-23, 别-22)
conj(不好-11, 说-23)
det(场景-25, 什么-24)
nsubj(设置-26, 场景-25)
ccomp(说-23, 设置-26)
nsubj(没用-30, 什么-28)
advmod(没用-30, 都-29)
conj(了-4, 没用-30)
mmod(冲-35, 买-32)
advmod(冲-35, 就-33)
conj(冲-35, 是-34)
cop(冲-35, 是-34)
conj(了-4, 冲-35)
asp(冲-35, 着-36)
dobj(冲-35, 照相-37)

assmod(照相-4, 500W-1)
case(500W-1, 的-2)
nn(照相-4, 摄像头-3)
nsubj(不错-7, 照相-4)
tmod(不错-7, 白天-5)
advmod(不错-7, 还-6)
root(ROOT-0, 不错-7)
tmod(差强人意-10, 晚上-9)
conj(不错-7, 差强人意-10)
advmod(比-21, 但-12)
nn(摄像头-14, 手机-13)
nsubj(比-21, 摄像头-14)
advmod(比-21, 怎么-15)
advmod(比-21, 也-16)
neg(比-21, 不-17)
mmod(比-21, 能-18)
case(相机-20, 跟-19)
prep(比-21, 相机-20)
conj(不错-7, 比-21)

nsubj(看-2, 照相-1)
xsubj(模糊-5, 照相-1)
root(ROOT-0, 看-2)
asp(看-2, 着-3)
advmod(模糊-5, 比较-4)
ccomp(看-2, 模糊-5)
case(出来-8, 照-7)
prep(可以-11, 出来-8)
dobj(出来-8, 效果-9)
advmod(可以-11, 还-10)
dep(看-2, 可以-11)
nsubj(白天-16, 说-13)
mark(说-13, 的-14)
cop(白天-16, 是-15)
conj(看-2, 白天-16)
nsubj(暗-19, 光线-18)
relcl(时候-21, 暗-19)
mark(暗-19, 的-20)
nsubj(差强人意-23, 时候-21)
advmod(差强人意-23, 确实-22)
conj(看-2, 差强人意-23)

nn(效果-2, 照相-1)
nsubj(一般-3, 效果-2)
dep(好-19, 一般-3)
dep(一般-3, 啦-4)
case(清楚-11, 在-6)
nsubj(清楚-11, 室内-7)
neg(清楚-11, 不-8)
cop(清楚-11, 是-9)
advmod(清楚-11, 很-10)
prep(好-19, 清楚-11)
nn(效果-15, 夜间-13)
nn(效果-15, 拍摄-14)
dep(好-19, 效果-15)
neg(好-19, 不-16)
cop(好-19, 是-17)
advmod(好-19, 很-18)
root(ROOT-0, 好-19)

nn(照相-2, 白天-1)
nsubj(好-4, 照相-2)
advmod(好-4, 很-3)
root(ROOT-0, 好-4)
dep(好-4, 对得起-6)
nummod(像素-8, 800W-7)
dobj(对得起-6, 像素-8)
advmod(限-11, 仅-10)
conj(好-4, 限-11)
dobj(限-11, 白天-12)
tmod(照-15, 晚上-14)
nsubj(惨-18, 照-15)
mark(照-15, 的-16)
advmod(惨-18, 略-17)
conj(好-4, 惨-18)
amod(清晰度-22, 前-20)
nn(清晰度-22, 摄像头-21)
nsubj(有限-23, 清晰度-22)
conj(好-4, 有限-23)
nsubj(足够-26, 聊天-25)
conj(好-4, 足够-26)

nsubj(可以-4, 照相-1)
dep(可以-4, 白天-2)
advmod(可以-4, 还-3)
root(ROOT-0, 可以-4)
dep(般-10, 晚上-6)
dep(般-10, 的话-7)
advmod(般-10, 就-8)
advmod(般-10, 一般-9)
conj(可以-4, 般-10)
neg(知道-13, 不-12)
conj(可以-4, 知道-13)
advmod(开-16, 为什么-14)
advmod(开-16, 如果-15)
ccomp(知道-13, 开-16)
asp(开-16, 了-17)
nn(照相-19, 夜景-18)
assmod(相当卡-22, 照相-19)
case(照相-19, 的-20)
nn(相当卡-22, 话-21)
dobj(开-16, 相当卡-22)
nsubj(缺点-32, 以上-24)
nummod(点-26, 几-25)
dep(缺点-32, 点-26)
cop(缺点-32, 是-27)
advmod(忍受-30, 实在-28)
advmod(忍受-30, 无法-29)
relcl(缺点-32, 忍受-30)
mark(忍受-30, 的-31)
conj(可以-4, 缺点-32)
nsubj(接受-39, 其他-34)
case(其他-34, 的-35)
advmod(接受-39, 就-36)
advmod(接受-39, 还-37)
mmod(接受-39, 能-38)
conj(可以-4, 接受-39)

nn(灯光-3, 照相室-1)
nn(灯光-3, 外-2)
nsubj(好-4, 灯光-3)
root(ROOT-0, 好-4)
comod(好-4, 不错-5)
case(好使-10, 对-7)
nsubj(好使-10, 焦-8)
neg(好使-10, 不-9)
prep(没有-14, 好使-10)
nn(颜色-13, 照片-12)
nsubj(没有-14, 颜色-13)
conj(好-4, 没有-14)
dep(没有-14, 4s-15)
conj(没有-14, 好看-16)

nsubj(充足-3, 光线-1)
neg(充足-3, 不-2)
loc(忍受-8, 充足-3)
case(充足-3, 时-4)
nsubj(忍受-8, 照相-6)
advmod(忍受-8, 无法-7)
root(ROOT-0, 忍受-8)

nsubj(4.7寸-2, 手机-1)
root(ROOT-0, 4.7寸-2)
case(女生-5, 对于-4)
prep(适合-9, 女生-5)
case(女生-5, 来说-6)
nsubj(适合-9, 尺寸-7)
advmod(适合-9, 刚好-8)
conj(4.7寸-2, 适合-9)
nummod(手-11, 单-10)
nsubj(持-12, 手-11)
ccomp(适合-9, 持-12)
rcomp(持-12, 握-13)

nn(不好-2, 光线-1)
assmod(效果-6, 不好-2)
case(不好-2, 的-3)
nn(效果-6, 地方-4)
nn(效果-6, 拍照-5)
nsubj(好-10, 效果-6)
neg(好-10, 不-7)
cop(好-10, 是-8)
advmod(好-10, 很-9)
root(ROOT-0, 好-10)

nsubj(接-9, 手机-1)
case(裤兜-3, 在-2)
prep(接-9, 裤兜-3)
case(裤兜-3, 里-4)
loc(接-9, 情况-5)
case(情况-5, 下-6)
advmod(接-9, 自动-8)
root(ROOT-0, 接-9)
dobj(接-9, 电话-10)
cc(接-9, 或-12)
dep(接-9, 挂-13)
dobj(挂-13, 电话-14)
dep(接-9, 想-16)
asp(想-16, 了-17)
nummod(办法-19, 很多-18)
nsubj(改变-21, 办法-19)
advmod(改变-21, 都-20)
ccomp(想-16, 改变-21)
neg(改变-21, 不-22)
dep(想-16, 了-23)

nsubj(挺亮-2, 外观-1)
nsubj(怕-5, 挺亮-2)
mark(挺亮-2, 的-3)
root(ROOT-0, 怕-5)
ccomp(怕-5, 冷-6)
nn(户外-9, 冬天-8)
tmod(了-12, 户外-9)
mmod(了-12, 发-10)
neg(了-12, 不-11)
conj(怕-5, 了-12)
dobj(了-12, 信息-13)
advmod(买-22, 一般-15)
relcl(话-19, 有钱-17)
mark(有钱-17, 的-18)
nsubj(买-22, 话-19)
advmod(买-22, 还是-20)
advmod(买-22, 不要-21)
conj(怕-5, 买-22)
det(款-24, 这-23)
dobj(买-22, 款-24)

nsubj(逼真-2, 色彩-1)
root(ROOT-0, 逼真-2)
advmod(置-5, 后-4)
conj(逼真-2, 置-5)
nn(照相-8, 相机-6)
nn(照相-8, 户外-7)
dobj(置-5, 照相-8)
conj(置-5, 清晰-9)
nn(像素-15, 效果-11)
amod(像素-15, 好-12)
amod(像素-15, 前置-13)
nn(像素-15, 相机-14)
nsubj(低-17, 像素-15)
advmod(低-17, 太-16)
conj(逼真-2, 低-17)
advmod(会-20, 偶尔-19)
conj(逼真-2, 会-20)
dobj(会-20, 黑屏-21)
nn(反应-24, 拍照-23)
nsubj(有-25, 反应-24)
conj(逼真-2, 有-25)
dobj(有-25, 点-26)
conj(有-25, 慢-27)

nn(晚上-2, 呼吸灯-1)
tmod(充电-3, 晚上-2)
loc(感觉-10, 充电-3)
case(充电-3, 时-4)
nsubj(感觉-10, 漏光-5)
xsubj(舒服-12, 漏光-5)
case(屏幕-7, 到-6)
prep(感觉-10, 屏幕-7)
case(屏幕-7, 上-8)
root(ROOT-0, 感觉-10)
neg(舒服-12, 不-11)
ccomp(感觉-10, 舒服-12)

loc(好-7, 理论-1)
case(理论-1, 上-2)
det(配置-5, 这-3)
clf(这-3, 机-4)
nsubj(好-7, 配置-5)
advmod(好-7, 很-6)
root(ROOT-0, 好-7)
loc(差不多-13, 实际-9)
case(实际-9, 上-10)
case(双核机-12, 和-11)
prep(差不多-13, 双核机-12)
conj(好-7, 差不多-13)
relcl(网速-17, 相同-15)
mark(相同-15, 的-16)
loc(快-23, 网速-17)
case(网速-17, 下-18)
nsubj(快-23, 反应-20)
neg(快-23, 没-21)
advmod(快-23, 双核-22)
conj(好-7, 快-23)

case(电梯-2, 在-1)
prep(想-4, 电梯-2)
case(电梯-2, 里-3)
dep(好-38, 想-4)
mmod(拨-6, 要-5)
ccomp(想-4, 拨-6)
dobj(拨-6, 电话-7)
advmod(拨-9, 竟然-8)
dep(拨-6, 拨-9)
neg(出去-11, 不-10)
ccomp(拨-9, 出去-11)
dep(出-27, 好-13)
dep(好-13, 吧-14)
dep(有-19, 朋友-16)
dep(有-19, 的-17)
conj(有-19, 是-18)
cop(有-19, 是-18)
dep(出-27, 有-19)
dobj(有-19, 信号-20)
dep(有-19, 的-21)
advmod(出-27, 万一-23)
case(电梯-25, 在-24)
prep(出-27, 电梯-25)
case(电梯-25, 里-26)
dep(出去-11, 出-27)
clf(事-29, 点儿-28)
dobj(出-27, 事-29)
advmod(好-38, 连-30)
clf(电话-32, 个-31)
nsubj(好-38, 电话-32)
advmod(好-38, 都-33)
mmod(好-38, 打-34)
neg(好-38, 不-35)
mmod(好-38, 出-36)
prtmod(好-38, 去-37)
root(ROOT-0, 好-38)
dep(好-38, 吗-39)

nsubj(发热-4, 手机-1)
advmod(发热-4, 经常-2)
advmod(发热-4, 自动-3)
root(ROOT-0, 发热-4)
case(情况-9, 在-6)
assmod(情况-9, 发热-7)
case(发热-7, 的-8)
prep(耗光-15, 情况-9)
case(情况-9, 下-10)
nummod(分钟-13, 电池分-12)
nsubj(耗光-15, 分钟-13)
advmod(耗光-15, 就-14)
conj(发热-4, 耗光-15)
dobj(耗光-15, 电量-16)
advmod(垃圾-23, 真是-18)
assmod(垃圾-23, 垃圾-19)
case(垃圾-19, 中-20)
case(垃圾-19, 的-21)
amod(垃圾-23, 极品-22)
prnmod(电量-16, 垃圾-23)

nsubj(在乎-2, 大家-1)
relcl(问题-5, 在乎-2)
mark(在乎-2, 的-3)
nn(问题-5, 发热-4)
nsubj(烫-15, 问题-5)
advmod(玩-9, 只要-7)
neg(玩-9, 不-8)
dep(烫-15, 玩-9)
dobj(玩-9, 游戏-10)
neg(烫-15, 不-12)
cop(烫-15, 是-13)
advmod(烫-15, 很-14)
root(ROOT-0, 烫-15)

nsubj(玩-3, 电量-1)
neg(玩-3, 不-2)
root(ROOT-0, 玩-3)
nsubj(可以-6, 游戏-4)
advmod(可以-6, 还是-5)
dobj(玩-3, 可以-6)
mark(可以-6, 的-7)
advmod(不足-17, 但是-9)
advmod(玩-11, 一旦-10)
dep(不足-17, 玩-11)
dobj(玩-11, 游戏-12)
advmod(不足-17, 就-14)
advmod(不足-17, 稍-15)
advmod(不足-17, 显-16)
conj(玩-3, 不足-17)

advmod(黑屏-2, 易-1)
root(ROOT-0, 黑屏-2)
nsubj(用-5, 易死机-4)
conj(黑屏-2, 用-5)
asp(用-5, 了-6)
nummod(年-8, 半-7)
dep(用-5, 年-8)
nsubj(一般-11, 感觉-10)
conj(黑屏-2, 一般-11)
dep(死机-15, 现在-13)
advmod(死机-15, 经常-14)
conj(黑屏-2, 死机-15)
advmod(打电话-19, 特别-17)
conj(打电话-19, 是-18)
cop(打电话-19, 是-18)
conj(黑屏-2, 打电话-19)
relcl(时候-23, 挂-20)
comod(挂-20, 断-21)
mark(挂-20, 的-22)
dobj(打电话-19, 时候-23)

advmod(黑屏-2, 容易-1)
root(ROOT-0, 黑屏-2)
case(电视-7, 在-4)
conj(电视-7, 电脑-5)
cc(电视-7, 或-6)
prep(打电话-9, 电视-7)
case(电视-7, 旁-8)
loc(觉得-13, 打电话-9)
case(打电话-9, 时-10)
nsubj(觉得-13, 对方-12)
dep(黑屏-2, 觉得-13)
ccomp(觉得-13, 有-14)
nn(干扰-16, 电流-15)
dobj(有-14, 干扰-16)
dep(觉得-13, 准备-18)
ccomp(准备-18, 换-19)
asp(换-19, 了-20)

mmod(觉得-17, 打电话-1)
advmod(点-3, 久-2)
dep(觉得-17, 点-3)
asp(点-3, 了-4)
nummod(点-6, 有-5)
clf(汗水-7, 点-6)
dobj(点-3, 汗水-7)
dep(点-3, 的话-8)
nsubj(开始-12, 触摸屏-10)
advmod(开始-12, 就-11)
dep(觉得-17, 开始-12)
dobj(开始-12, 跳屏-13)
dep(开始-12, 了-14)
advmod(觉得-17, 总之-16)
root(ROOT-0, 觉得-17)
advmod(一般-19, 很-18)
ccomp(觉得-17, 一般-19)
nn(个人-22, 我-21)
nsubj(感觉-23, 个人-22)
dep(觉得-17, 感觉-23)

advmod(尴尬-2, 最-1)
dvpmod(手机会-5, 尴尬-2)
mark(尴尬-2, 的-3)
conj(手机会-5, 是-4)
cop(手机会-5, 是-4)
loc(卡屏-14, 手机会-5)
case(锁屏-7, 在-6)
assmod(界面-9, 锁屏-7)
case(锁屏-7, 的-8)
dobj(手机会-5, 界面-9)
case(手机会-5, 时-10)
nn(来电-12, 接手机-11)
